상품명,카테고리
존쿡 델리미트 이탈리안 살라미 오리지널&치즈 40g,햄/소시지(통조림/병제외)
머거본 꿀땅콩 70g,건식품
해왕 국물용.대멸치 150g,건포류
토농이 씨앗믹스 250g,건식품
동원 스위트콘 198g,농산물통조림/병
프레시안 더(The) 건강한 햄 540g,햄/소시지(통조림/병제외)
해맑음 국물용멸치 450g,건포류
사회적협동조합제주이어도지역자활센터 제주톡말린감귤 20g,건식품
프레시안 토종김(참기름) 30g,해조류
육공방 비엔나 치즈 260g,햄/소시지(통조림/병제외)
Organic Story 유기농딸기잼 300g,농산물통조림/병
Tom's Farm 1982 허니버터 호두 170 g,건식품
Johnsonville 핫 앤드 스파이시 스모크 소시지 (HOT & SPICY SMOKED SAUSAGE) 396g,햄/소시지(통조림/병제외)
청우림 장작구이맛김밥햄 100g,햄/소시지(통조림/병제외)
오씨아니통단팥 3 kg,농산물통조림/병
Bellota-Bellota 로모 벨로타 이베리코 포크 레드 로인 30g,햄/소시지(통조림/병제외)
황태채 200g,건포류
목우촌 신선도원 비엔나 91 460g,햄/소시지(통조림/병제외)
와사비맛아몬드 30g,건식품
복음자리 호두바닐라 스프레드 130g,농산물통조림/병
조미김가루 60g,해조류
존쿡델리미트 잠봉 250g,햄/소시지(통조림/병제외)
동원 판타스틱 스파이시 60g,조미육가공
홍대감 치즈육포 60g,조미육가공
카오숑 라이스 크래커 믹스,건식품
염장곰피 200g,해조류
하림매콤닭강정 250g,조미육가공
사조 담백하게 더 맛있는 참치 60g,수산물통조림/병
건배 순쇠고기우육포 20g,조미육가공
플랜터스 쏠티드피넛/허니로스트 피넛 56g (28g x 2),건식품
롯데 그릴비엔나,햄/소시지(통조림/병제외)
오하루 자연가득 국내산 맛밤 50g,건식품
라면에 넣어먹는 동원라면참치 살코기 참치 65g,수산물통조림/병
사조참치 사조마일드참치 안심따개 100g,수산물통조림/병
청정원 안주야 양념벌집껍데기 260g,조미육가공
Well & Good 맛있는풍경 야채 김자반볶음 40g,해조류
지도표 성경 녹차김 5봉지,해조류
양반 김치 160g,농산물통조림/병
쥐포愛반하다 올리브유로구운참쥐포채 150g,건포류
비비고 한식김자반 볶음고추장맛 50g,해조류
